Statistics by Municipality:
Cortlandville (Town): Total: 26, Poor: 6, Percentage: 23.08%
Cuyler (Town): Total: 9, Poor: 2, Percentage: 22.22%
Freetown (Town): Total: 2, Poor: 1, Percentage: 50.00%
Harford (Town): Total: 11, Poor: 4, Percentage: 36.36%
Homer (Town): Total: 19, Poor: 1, Percentage: 5.26%
Homer (Village): Total: 11, Poor: 2, Percentage: 18.18%
Lapeer (Town): Total: 5, Poor: 1, Percentage: 20.00%
Marathon (Town): Total: 9, Poor: 3, Percentage: 33.33%
Marathon (Village): Total: 6, Poor: 1, Percentage: 16.67%
Mcgraw (Village): Total: 2, Poor: 1, Percentage: 50.00%
Preble (Town): Total: 12, Poor: 0, Percentage: 0.00%
Scott (Town): Total: 5, Poor: 0, Percentage: 0.00%
Solon (Town): Total: 6, Poor: 0, Percentage: 0.00%
Taylor (Town): Total: 5, Poor: 0, Percentage: 0.00%
Truxton (Town): Total: 16, Poor: 3, Percentage: 18.75%
Virgil (Town): Total: 17, Poor: 2, Percentage: 11.76%
Willet (Town): Total: 9, Poor: 1, Percentage: 11.11%
Andes (Town): Total: 17, Poor: 0, Percentage: 0.00%
Bovina (Town): Total: 12, Poor: 0, Percentage: 0.00%
Colchester (Town): Total: 58, Poor: 2, Percentage: 3.45%
Davenport (Town): Total: 17, Poor: 0, Percentage: 0.00%
Delhi (Town): Total: 20, Poor: 3, Percentage: 15.00%
Delhi (Village): Total: 3, Poor: 0, Percentage: 0.00%
Deposit (Town): Total: 14, Poor: 3, Percentage: 21.43%
Fleischmanns (Village): Total: 5, Poor: 1, Percentage: 20.00%
Franklin (Town): Total: 32, Poor: 6, Percentage: 18.75%
Franklin (Village): Total: 1, Poor: 0, Percentage: 0.00%
Hamden (Town): Total: 8, Poor: 0, Percentage: 0.00%
Hancock (Town): Total: 75, Poor: 5, Percentage: 6.67%
Hancock (Village): Total: 6, Poor: 0, Percentage: 0.00%
Harpersfield (Town): Total: 5, Poor: 1, Percentage: 20.00%
Hobart (Village): Total: 1, Poor: 0, Percentage: 0.00%
Kortright (Town): Total: 18, Poor: 0, Percentage: 0.00%
Margaretville (Village): Total: 4, Poor: 1, Percentage: 25.00%
Masonville (Town): Total: 6, Poor: 0, Percentage: 0.00%
Meredith (Town): Total: 13, Poor: 0, Percentage: 0.00%
Middletown (Town): Total: 40, Poor: 3, Percentage: 7.50%
Roxbury (Town): Total: 18, Poor: 6, Percentage: 33.33%
Sidney (Town): Total: 30, Poor: 1, Percentage: 3.33%
Sidney (Village): Total: 3, Poor: 1, Percentage: 33.33%
Stamford (Town): Total: 15, Poor: 1, Percentage: 6.67%
Tompkins (Town): Total: 18, Poor: 0, Percentage: 0.00%
Walton (Town): Total: 17, Poor: 3, Percentage: 17.65%
Walton (Village): Total: 8, Poor: 1, Percentage: 12.50%
Amenia (Town): Total: 14, Poor: 1, Percentage: 7.14%
Beacon (City): Total: 6, Poor: 0, Percentage: 0.00%
Beekman (Town): Total: 11, Poor: 2, Percentage: 18.18%
Dover (Town): Total: 16, Poor: 2, Percentage: 12.50%
East Fishkill (Town): Total: 37, Poor: 4, Percentage: 10.81%
Fishkill (Town): Total: 19, Poor: 2, Percentage: 10.53%
Hyde Park (Town): Total: 17, Poor: 3, Percentage: 17.65%
La Grange (Town): Total: 24, Poor: 1, Percentage: 4.17%
Milan (Town): Total: 12, Poor: 2, Percentage: 16.67%
Millbrook (Village): Total: 2, Poor: 0, Percentage: 0.00%
Millerton (Village): Total: 1, Poor: 0, Percentage: 0.00%
North East (Town): Total: 10, Poor: 1, Percentage: 10.00%
Pawling (Town): Total: 9, Poor: 1, Percentage: 11.11%
Pawling (Village): Total: 1, Poor: 0, Percentage: 0.00%
Pine Plains (Town): Total: 5, Poor: 2, Percentage: 40.00%
Pleasant Valley (Town): Total: 11, Poor: 2, Percentage: 18.18%
Poughkeepsie (City): Total: 32, Poor: 3, Percentage: 9.38%
Poughkeepsie (Town): Total: 13, Poor: 1, Percentage: 7.69%
Red Hook (Town): Total: 18, Poor: 4, Percentage: 22.22%
Rhinebeck (Town): Total: 10, Poor: 2, Percentage: 20.00%
Rhinebeck (Village): Total: 1, Poor: 1, Percentage: 100.00%
Stanford (Town): Total: 13, Poor: 5, Percentage: 38.46%
Tivoli (Village): Total: 1, Poor: 0, Percentage: 0.00%
Union Vale (Town): Total: 8, Poor: 2, Percentage: 25.00%
Wappingers Falls (Village): Total: 2, Poor: 0, Percentage: 0.00%
Wappinger (Town): Total: 13, Poor: 0, Percentage: 0.00%
Washington (Town): Total: 8, Poor: 1, Percentage: 12.50%
Akron (Village): Total: 7, Poor: 2, Percentage: 28.57%
Alden (Town): Total: 19, Poor: 3, Percentage: 15.79%
Alden (Village): Total: 1, Poor: 0, Percentage: 0.00%
Amherst (Town): Total: 90, Poor: 10, Percentage: 11.11%
Angola (Village): Total: 1, Poor: 0, Percentage: 0.00%
Aurora (Town): Total: 24, Poor: 1, Percentage: 4.17%
Blasdell (Village): Total: 4, Poor: 0, Percentage: 0.00%
Boston (Town): Total: 18, Poor: 2, Percentage: 11.11%
Brant (Town): Total: 13, Poor: 1, Percentage: 7.69%
Buffalo (City): Total: 142, Poor: 14, Percentage: 9.86%
Cheektowaga (Town): Total: 56, Poor: 4, Percentage: 7.14%
Clarence (Town): Total: 30, Poor: 0, Percentage: 0.00%
Colden (Town): Total: 9, Poor: 1, Percentage: 11.11%
Collins (Town): Total: 15, Poor: 2, Percentage: 13.33%
Concord (Town): Total: 27, Poor: 5, Percentage: 18.52%
Depew (Village): Total: 9, Poor: 0, Percentage: 0.00%
East Aurora (Village): Total: 6, Poor: 0, Percentage: 0.00%
Eden (Town): Total: 14, Poor: 2, Percentage: 14.29%
Elma (Town): Total: 26, Poor: 2, Percentage: 7.69%
Evans (Town): Total: 33, Poor: 4, Percentage: 12.12%
Grand Island (Town): Total: 20, Poor: 2, Percentage: 10.00%
Hamburg (Town): Total: 36, Poor: 8, Percentage: 22.22%
Hamburg (Village): Total: 1, Poor: 0, Percentage: 0.00%
Holland (Town): Total: 11, Poor: 1, Percentage: 9.09%
Lackawanna (City): Total: 17, Poor: 1, Percentage: 5.88%
Lancaster (Town): Total: 32, Poor: 4, Percentage: 12.50%
Lancaster (Village): Total: 6, Poor: 0, Percentage: 0.00%
Marilla (Town): Total: 11, Poor: 3, Percentage: 27.27%
Newstead (Town): Total: 21, Poor: 0, Percentage: 0.00%
North Collins (Town): Total: 10, Poor: 1, Percentage: 10.00%
North Collins (Village): Total: 1, Poor: 1, Percentage: 100.00%
Orchard Park (Town): Total: 55, Poor: 2, Percentage: 3.64%
Orchard Park (Village): Total: 3, Poor: 0, Percentage: 0.00%
Sardinia (Town): Total: 13, Poor: 0, Percentage: 0.00%
Springville (Village): Total: 3, Poor: 0, Percentage: 0.00%
Tonawanda (City): Total: 12, Poor: 1, Percentage: 8.33%
Tonawanda (Town): Total: 31, Poor: 0, Percentage: 0.00%
Wales (Town): Total: 13, Poor: 0, Percentage: 0.00%
West Seneca (Town): Total: 46, Poor: 5, Percentage: 10.87%
Williamsville (Village): Total: 3, Poor: 0, Percentage: 0.00%
Chesterfield (Town): Total: 17, Poor: 3, Percentage: 17.65%
Crown Point (Town): Total: 11, Poor: 1, Percentage: 9.09%
Elizabethtown (Town): Total: 21, Poor: 5, Percentage: 23.81%
Essex (Town): Total: 4, Poor: 0, Percentage: 0.00%
Jay (Town): Total: 7, Poor: 0, Percentage: 0.00%
Keene (Town): Total: 37, Poor: 2, Percentage: 5.41%
Lake Placid (Village): Total: 2, Poor: 0, Percentage: 0.00%
Lewis (Town): Total: 31, Poor: 2, Percentage: 6.45%
Minerva (Town): Total: 13, Poor: 1, Percentage: 7.69%
Moriah (Town): Total: 8, Poor: 1, Percentage: 12.50%
Newcomb (Town): Total: 9, Poor: 1, Percentage: 11.11%
North Elba (Town): Total: 7, Poor: 0, Percentage: 0.00%
North Hudson (Town): Total: 20, Poor: 1, Percentage: 5.00%
Port Henry (Village): Total: 5, Poor: 1, Percentage: 20.00%
Saranac Lake (Village): Total: 7, Poor: 2, Percentage: 28.57%
Schroon (Town): Total: 21, Poor: 1, Percentage: 4.76%
St. Armand (Town): Total: 6, Poor: 0, Percentage: 0.00%
Ticonderoga (Town): Total: 9, Poor: 0, Percentage: 0.00%
Westport (Town): Total: 9, Poor: 1, Percentage: 11.11%
Willsboro (Town): Total: 6, Poor: 0, Percentage: 0.00%
Wilmington (Town): Total: 6, Poor: 0, Percentage: 0.00%
Bangor (Town): Total: 12, Poor: 1, Percentage: 8.33%
Bellmont (Town): Total: 11, Poor: 2, Percentage: 18.18%
Bombay (Town): Total: 8, Poor: 1, Percentage: 12.50%
Brandon (Town): Total: 4, Poor: 0, Percentage: 0.00%
Brighton (Town): Total: 59, Poor: 4, Percentage: 6.78%
Brushton (Village): Total: 1, Poor: 1, Percentage: 100.00%
Burke (Town): Total: 6, Poor: 2, Percentage: 33.33%
Burke (Village): Total: 1, Poor: 0, Percentage: 0.00%
Chateaugay (Town): Total: 9, Poor: 1, Percentage: 11.11%
Chateaugay (Village): Total: 1, Poor: 0, Percentage: 0.00%
Constable (Town): Total: 12, Poor: 1, Percentage: 8.33%
Duane (Town): Total: 5, Poor: 0, Percentage: 0.00%
Fort Covington (Town): Total: 17, Poor: 2, Percentage: 11.76%
Harrietstown (Town): Total: 5, Poor: 0, Percentage: 0.00%
Malone (Town): Total: 17, Poor: 3, Percentage: 17.65%
