Critical Infrastructure Bridges Analysis:

Total Critical Bridges Identified: 733
Poor Condition Critical Bridges: 72

Detailed List of Critical Bridges:
BIN, Feature Carried, Feature Crossed, Year Built, Last Inspection, Poor Condition, Reason
3362520,ALDEN CRTTNDEN RD,CSX TRANS/ AMTRAK,1990,09/26/2018,No,Significant Feature
2260570,KENSINGTON AVENUE,CSXT,1990,10/12/2018,No,Significant Feature
3367690,CEMETERY ROAD,CSX TRANS/ AMTRAK,1990,09/26/2018,No,Significant Feature
2211350,EAST MAIN STREET,CSX TRANS/AMTRAK,1990,05/29/2018,No,Significant Feature
1073860,TO I790 NORTHBOUND,CSX TRANS/AMTRAK,1990,10/02/2018,No,Significant Feature
1022040,31  31 26111069,CSX TRANS/AMTRAK,1990,10/10/2018,No,Significant Feature
3344640,PINE ISLAND TURNPIKE,WILLOW LAKE OUTLET,1990,06/12/2019,No,Significant Feature
2267780,PORT ACCESS ROAD,CSXT PORT SPUR,1990,10/30/2019,No,Significant Feature
2267790,PORT ACCESS ROAD,CSX TRANS/ AMTRAK,1990,10/30/2019,No,Significant Feature
1038700,158 158 16021010,CSX TRANSPRTATION,1990,11/04/2019,No,Significant Feature
1037580,129 129 87011036,CROTON LAKE RESER,1990,07/16/2019,No,Significant Feature
3323500,BUSTI-STILLWATER,HATCH CREEK,1989,05/23/2018,No,Major Route
3324770,ALLEGHANY ROAD,SILVER CREEK,1989,05/14/2018,No,Major Route
5523530,RAMP FROM TACONIC STATE PARKWAY NORTHBOUND,SYLVAN LAKE OUTLET,1989,09/17/2018,No,Significant Feature
2011960,16  16 53022028,CSX TRANS/ AMTRAK,1989,09/28/2018,No,Significant Feature
1074470,590 590 43011002,CSX,1989,08/29/2018,No,Significant Feature
3311340,RIVER ROAD,MOHAWK RIVER,1989,10/03/2018,No,Significant Feature
3345780,SNAKE HILL ROAD,CSX TRANS/RVR LNE,1989,05/22/2018,No,Significant Feature
1073990,971Q971Q73011002,CSX TRANSPRTATION,1988,06/25/2018,No,Significant Feature
1014110,17A 17A83011172,GREENWOOD LAKE OUTLET,1988,11/14/2019,No,Significant Feature
1065873,495I495IX5C13B02,CSX TRANS/CPR&P&W,1988,11/02/2019,No,Significant Feature
1065871,495I495IX5C14B14,CSX TRANS/CPR&P&W,1988,11/02/2019,No,Significant Feature
2203120,ALTAMONT AVENUE,CSX TRANS/ AMTRAK,1988,10/17/2019,No,Significant Feature
2224440,STONY KILL ROAD,STONY KILL,1988,03/28/2019,No,Major Route
1021780,31  31 37061232,CSX TRANS/AMTRAK,1988,08/22/2018,No,Significant Feature
1073500,FROM 87I SO. BD.,RENSSELAER LAKE,1987,04/09/2019,No,Significant Feature
3322030,ABBOTTS ROAD,TRIB OF CUBA LAKE,1987,07/18/2019,No,Significant Feature
2206520,FLOYD AVENUE,MOHAWK RIVER,1987,08/13/2018,No,Significant Feature
1072900,FROM STATE FAIR BLVD,CSX TRANSPRTATION,1987,05/21/2019,No,Significant Feature
1072890,WB OFF RAMP,CSX TRANSPRTATION,1987,05/21/2019,No,Significant Feature
1031620,FRM 81I-HIA BLVD,81I 81I33032066,1987,04/30/2019,No,Major Route
1073190,FR I90WB TO I87NB,RENSSELAER LAKE,1986,07/01/2019,No,Significant Feature
2200470,470  470 11012021,E.BR MOHAWK RIVER,1986,06/22/2018,No,Significant Feature
1016270,21   21 61011030,RAILROAD BROOK,1986,07/02/2019,No,Significant Feature
1047750,446 446 61021005,CUBA LAKE OUTLET,1986,03/01/2018,No,Significant Feature
3330240,COUNTY ROAD 7C,TRIB CUBA LAKE,1986,11/07/2018,No,Significant Feature
1008700,11  11 73053154,CSX TRANSPRTATION,1986,06/19/2018,No,Significant Feature
3310070,CR27 MAIN STREET,CSX TRANS/AMTRAK,1986,10/05/2019,No,Significant Feature
3310950,CR47 WRIGHT SETTLEMENT RD,MOHAWK RIVER,1986,11/13/2018,No,Significant Feature
3354840,COUNTY RD 19A,LAKE CREEK,1986,06/18/2019,No,Significant Feature
1006390,9G  9G82011003,CSX-ABANDONED TRACK and FLOOD OVERFLOW,1985,03/19/2019,No,Significant Feature
2206500,SIXTH STREET,TRIB MOHAWK RIVER,1985,10/31/2018,No,Significant Feature
1045690,321 321 33011075,FINGER LAKES,1985,10/29/2019,No,Significant Feature
3345360,MCMANUS ROAD,MONHAGEN BROOK,1985,07/03/2018,No,Major Route
7346320,STONY PT PARK RD,CSX TRANS/ RVR LN,1985,08/04/2019,No,Major Route, Significant Feature
3335640,COUNTY ROAD 9,KEUKA LAKE OUTLET,1985,07/05/2018,No,Significant Feature
1072850,190IX SB RAMP TO NY 266,BLACK ROCK HARBOR RD,1984,07/10/2018,No,Major Route
3366910,31F  31F43011049,CSX TRANS/AMTRAK,1984,05/04/2018,No,Significant Feature
